mz,RT,QC06,QC07,QC08,QC09,QC10,QC11,QC12,QC13,QC14,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18
436.0592443,8.404266667,175132.9733,171439.406,178553.6365,158614.6375,156575.3936,133283.1339,102818.7429,113356.7,92542.16832,4227.668743,1264.464966,2900.167053,3270.030318,893.636455,727.8320966,2313.389731,1946.512216,3514.771473,2572.081835,2776.509601,1658.43125,2424.112883,4522.143416,1005.228984,2632.989695,1966.604634,2480.401593
384.0883848,8.404266667,4508.735107,15653.79666,12028.22754,8683.273193,8331.789239,12107.2027,8260.445981,9033.352294,5880.828606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.02047005,0
592.2637135,8.799416667,329456.7163,296262.2486,331536.1723,305060.5782,315943.5657,274653.9524,231584.7226,228448.1101,211166.1032,662800.944,653553.8906,590242.8747,484094.1287,541193.171,717134.2004,182968.5467,209311.6643,200618.1827,185791.9607,234017.5989,204320.3198,174847.8026,223137.7135,174443.7198,200704.9851,144004.4155,174937.0302
186.0440114,0.797033333,194628.9874,153722.2798,152756.3399,151284.6698,154740.3482,125098.5696,88880.28621,80241.25737,75174.74003,10032.5533,7134.557778,3677.760669,6344.239685,8665.97821,3338.073717,44778.31715,28525.10373,33620.98996,26548.54876,21249.50715,17797.07736,34336.38377,18864.50214,16932.58005,16022.18429,13188.12729,15520.1329
391.0613176,8.404266667,31099.25982,31214.6336,30684.42506,26230.00122,29395.5515,23181.66983,15799.52821,15216.2874,15394.46076,0,0,0,0,0,0,0,0,0,0,0,0,0,55.04444252,0,162.3477973,0,0
187.0405467,0.797033333,857827.4758,752263.9741,765715.93,722265.9853,648379.2175,552763.9205,402153.2021,374223.5642,349820.4225,50065.51151,29118.55241,18230.00945,29191.0337,37992.01748,13362.61042,207315.5948,124460.9598,159088.3181,120393.1449,107617.1098,86992.2565,158727.8319,96283.00839,64822.76561,70850.11163,63910.21738,66155.32351
152.9943334,0.63335,39860.19635,37094.75604,39015.91248,36956.24957,37837.34273,36104.1887,36178.01659,32382.54304,35176.26284,17185.62915,18087.68353,14345.82969,18121.92311,22060.75366,13575.39461,52062.34882,48977.97243,57261.92444,40269.51288,50742.34384,47841.00007,47227.15438,43465.77098,43793.86654,45520.62827,42822.67023,40200.18411
168.9877115,4.51115,880757.8438,870903.0012,847389.4947,806340.4598,761897.711,586353.082,548074.6005,532409.3507,525245.8996,500289.4241,443565.7998,423301.3229,412329.4417,397870.5875,350977.2449,450162.7604,424672.3298,419947.9625,394086.4036,367460.9638,357252.5757,446703.2365,429648.5296,402114.0217,381298.2996,370154.0727,365094.6545
446.089598,8.404266667,322723.4729,307378.8314,307903.6997,293979.6213,270474.7104,206589.3369,175835.785,156188.3337,160690.3349,44675.48172,51345.3955,53560.4573,48211.9646,45095.68721,50130.01221,71627.95694,72599.56373,77781.77628,39246.70543,41324.60667,59683.35247,77544.07268,78658.4267,93618.94348,63456.08306,55899.03233,43867.6189
524.2774053,8.799416667,1515950.534,1437004.615,1469613.387,1417618.768,1310623.566,1309864.579,1179982.765,1190996.732,1136649.634,3321389.756,3469855.415,2882904.526,2434237.501,2952470.78,3963813.673,679543.3959,836778.6344,883464.2177,786640.5637,1113017.823,876003.9236,752564.8615,1121130.436,828681.4605,1014772.767,781528.4386,818309.9151
